timestamp_local,raw_acc_x,raw_acc_y,raw_acc_z,g_acc_x,g_acc_y,g_acc_z,raw_gx,raw_gy,raw_gz,filt_gx,filt_gy,filt_gz,temp,roll,pitch,yaw,q0,q1,q2,q3,vx,vy,vz,vx_filt,vy_filt,vz_filt,px,py,pz,stationary
2025-05-30 17:43:08.462,0.099,0.002,9.881,0.069,0.016,0.051,-0.0341,0.0234,-0.0469,-0.0318,0.0193,-0.0455,35,0.24,-0.86,0.35,0.9983,0.0021,-0.0075,0.0031,-0.017,-0.007,0.037,-0.005,-0.004,0.015,-0.001,-0.004,0.011,0
2025-05-30 17:43:08.516,0.099,-0.029,9.86,-0.032,0.025,0.032,-0.0426,-0.017,-0.0597,-0.0416,-0.0118,-0.0584,35,0.01,-1.45,0.18,0.9982,0.0001,-0.0127,0.0016,-0.016,-0.006,0.039,-0.005,-0.004,0.016,-0.001,-0.004,0.012,0
2025-05-30 17:43:08.569,0.108,0.0,9.851,0.022,-0.021,0.022,-0.0277,0.0149,0.0575,-0.0292,0.0138,0.0457,35,0.45,-1.19,0.3,0.9982,0.0039,-0.0104,0.0027,-0.017,-0.006,0.04,-0.006,-0.005,0.016,-0.002,-0.005,0.012,0
2025-05-30 17:43:08.623,0.088,-0.004,9.881,0.001,0.033,0.052,0.0959,0.0085,0.0383,0.0833,0.0106,0.0389,35,0.11,-1.19,0.43,0.9983,0.001,-0.0104,0.0037,-0.016,-0.006,0.042,-0.006,-0.005,0.017,-0.002,-0.005,0.013,0
2025-05-30 17:43:08.677,0.099,-0.034,9.862,-0.1,-0.018,0.036,0.0,-0.0383,0.1385,0.0082,-0.0319,0.1283,35,0.23,-1.85,0.79,0.9982,0.0021,-0.0161,0.0069,-0.019,-0.005,0.044,-0.007,-0.005,0.018,-0.002,-0.005,0.014,0
2025-05-30 17:43:08.731,0.097,0.004,9.831,-0.026,-0.009,0.003,0.0192,-0.0447,-0.0959,0.018,-0.0419,-0.0736,35,0.4,-1.41,0.58,0.9982,0.0035,-0.0123,0.0051,-0.022,-0.005,0.045,-0.007,-0.005,0.019,-0.003,-0.005,0.015,0
2025-05-30 17:43:08.784,0.077,0.002,9.872,0.088,0.041,0.042,-0.0682,0.0916,-0.0043,-0.0597,0.0798,-0.0114,35,0.1,-0.62,0.55,0.9983,0.0009,-0.0054,0.0048,-0.02,-0.004,0.046,-0.007,-0.005,0.02,-0.003,-0.005,0.016,0
2025-05-30 17:43:08.840,0.101,-0.004,9.824,0.013,0.003,-0.005,0.0149,-0.0234,0.1364,0.0073,-0.0115,0.1214,35,0.28,-1.2,0.89,0.9982,0.0026,-0.0105,0.0078,-0.018,-0.003,0.047,-0.008,-0.005,0.02,-0.003,-0.006,0.017,0
2025-05-30 17:43:08.894,0.081,-0.009,9.849,0.101,-0.014,0.019,0.0895,0.032,-0.1087,0.0812,0.0292,-0.0858,35,0.35,-0.57,0.65,0.9983,0.0031,-0.005,0.0057,-0.015,-0.003,0.047,-0.008,-0.004,0.021,-0.004,-0.006,0.018,0
2025-05-30 17:43:08.947,0.099,0.02,9.851,-0.013,0.045,0.022,-0.1087,-0.0852,-0.1491,-0.0898,-0.0722,-0.143,35,0.17,-1.34,0.24,0.9982,0.0015,-0.0117,0.0021,-0.013,-0.002,0.048,-0.008,-0.004,0.022,-0.004,-0.006,0.019,0
2025-05-30 17:43:09.001,0.11,-0.002,9.887,0.041,-0.075,0.058,0.0149,0.0767,0.0107,0.0043,0.0634,-0.0049,35,0.75,-1.09,0.21,0.9982,0.0066,-0.0095,0.0019,-0.012,-0.002,0.05,-0.008,-0.004,0.023,-0.005,-0.006,0.02,0
2025-05-30 17:43:09.055,0.101,0.0,9.849,-0.014,0.016,0.021,0.0,-0.0234,-0.049,0.0003,-0.0132,-0.0448,35,0.23,-1.35,0.1,0.9982,0.002,-0.0118,0.0009,-0.011,-0.004,0.051,-0.008,-0.004,0.024,-0.005,-0.007,0.022,0
2025-05-30 17:43:09.109,0.097,-0.002,9.851,0.065,-0.039,0.021,-0.0234,0.0128,-0.1193,-0.0212,0.0118,-0.112,35,0.54,-0.87,-0.23,0.9983,0.0047,-0.0076,-0.002,-0.009,-0.005,0.052,-0.008,-0.004,0.025,-0.005,-0.007,0.023,0
2025-05-30 17:43:09.164,0.106,0.002,9.86,-0.01,0.048,0.031,-0.0895,0.0085,0.1193,-0.0828,0.0104,0.096,35,0.05,-1.36,0.05,0.9982,0.0005,-0.0119,0.0004,-0.007,-0.005,0.054,-0.008,-0.004,0.026,-0.006,-0.007,0.024,0
